search_term,name,url,price,provider_id,photo,details,brand
smartphone xiaomi,Celular libre Xiaomi redmi10c 4gb 128 gb azul,https://www.carrefour.com.ar/celular-libre-xiaomi-redmi10c-4gb-128-gb-azul/p,270000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/508305-170-170?v=638488052266100000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Xiaomi redmi note 13 8gb 256 gb negro,https://www.carrefour.com.ar/celular-libre-xiaomi-redmi-note-13-8gb-256-gb-negro/p,600000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/543557-170-170?v=638570164674100000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Motorola G14 4gb 128gb,https://www.carrefour.com.ar/celular-libre-motorola-g14-4gb-128gb-mauve-1/p,330000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/509297-170-170?v=638490620918300000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Motorola G14 4gb 128gb mauve,https://www.carrefour.com.ar/celular-libre-motorola-g14-4gb-128gb-mauve/p,330000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/509305-170-170?v=638490621010570000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Motorola e22 3gb32gb,https://www.carrefour.com.ar/celular-libre-motorola-e22-3gb32gb-/p,250000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/419775-170-170?v=638361973843700000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Motorola edge 40 neo 8gb 256gb caneel bay,https://www.carrefour.com.ar/celular-libre-motorola-g84-8gb-256gb-canel-bay/p,749000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/509345-170-170?v=638490621470630000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Samsung galaxy a05 128gb negro,https://www.carrefour.com.ar/celular-libre-samsung-galaxy-a05-128gb-negro/p,336000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/516476-170-170?v=638506333354670000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Samsung galaxy a05 64gb negro,https://www.carrefour.com.ar/celular-libre-samsung-galaxy-a05-64gb-negro/p,300000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/516484-170-170?v=638506333440600000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Xiaomi redmi13c 4gb 128 gb azul,https://www.carrefour.com.ar/celular-libre-xiaomi-redmi13c-4gb-128-gb-azul/p,330000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/541719-170-170?v=638568222407570000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular TCL 40SE Android 6gb RAM 256GB ROM Color Dark Gray,https://www.carrefour.com.ar/celular-tcl-40se-android-6gb-ram-256gb-rom-color-dark-gray-1659506/p,302159,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/542490-170-170?v=638569131885870000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Motorola G14 4gb 128gb biscoty,https://www.carrefour.com.ar/celular-libre-motorola-edge-40-neo-8gb-256gb-caneel-bay/p,330000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/509313-170-170?v=638490621103400000&width=170&height=170&aspect=true,,
smartphone xiaomi,Celular libre Motorola e22 3gb32gb,https://www.carrefour.com.ar/celular-libre-motorola-e22-3gb32gb/p,250000,carrefour,https://carrefourar.vtexassets.com/arquivos/ids/419770-170-170?v=638361973824900000&width=170&height=170&aspect=true,,
